Category,Subcategory,Specification,modelo,ano
Motor,Tipo,"SOHC, 2 válvulas, Refrigeração a ar",XTZ 150cc Crosser,2025
Motor,Quantidade de cilindros,1,XTZ 150cc Crosser,2025
Motor,Cilindrada,"124,9 cm³",XTZ 150cc Crosser,2025
Motor,Diâmetro x curso,"52,4 x 57,9 mm",XTZ 150cc Crosser,2025
Motor,Taxa de compressão,"10,0:1",XTZ 150cc Crosser,2025
Motor,Potência máxima,"11,0 cv (Gasolina) / 11,1 cv (Etanol) a 7.500 rpm",XTZ 150cc Crosser,2025
Motor,Torque máximo,"1,14 kgf.m (Gasolina) / 1,16 kgf.m (Etanol) a 5.500 rpm",XTZ 150cc Crosser,2025
Motor,Embreagem,"Multi-disco, úmida",XTZ 150cc Crosser,2025
Pneu,Dimensões do Pneu Dianteiro,"2,75-18",XTZ 150cc Crosser,2025
Pneu,Dimensões do Pneu Traseiro,90/90-18,XTZ 150cc Crosser,2025
Pneu,Fabricante do Pneu,Michelin / Pirelli,XTZ 150cc Crosser,2025
Freios,Tipo de freio dianteiro,Disco hidráulico com sistema UBS,XTZ 150cc Crosser,2025
Freios,Tipo de freio traseiro,Tambor com sistema UBS,XTZ 150cc Crosser,2025
Suspensão,Tipo de suspensão dianteira,Garfo telescópico,XTZ 150cc Crosser,2025
Suspensão,Tipo de suspensão traseira,Balança tipo Monocross,XTZ 150cc Crosser,2025
Combustível,Alimentação,Injeção eletrônica,XTZ 150cc Crosser,2025
Combustível,Combustível recomendado,Gasolina e Etanol,XTZ 150cc Crosser,2025
Combustível,Capacidade do tanque de combustível,"15,7 L",XTZ 150cc Crosser,2025
Transmissão,Sistema de transmissão,5 velocidades,XTZ 150cc Crosser,2025
Transmissão,Relação de marchas - 1ª,"2,714 (38/14)",XTZ 150cc Crosser,2025
Transmissão,Relação de marchas - 2ª,"1,789 (34/19)",XTZ 150cc Crosser,2025
Transmissão,Relação de marchas - 3ª,"1,318 (29/22)",XTZ 150cc Crosser,2025
Transmissão,Relação de marchas - 4ª,"1,045 (23/22)",XTZ 150cc Crosser,2025
Transmissão,Relação de marchas - 5ª,"0,875 (21/24)",XTZ 150cc Crosser,2025
Transmissão,Sistema de partida,Elétrica e pedal,XTZ 150cc Crosser,2025
Transmissão,Transmissão final,Corrente,XTZ 150cc Crosser,2025
Óleo do motor,Quantidade de óleo do motor - sem troca do filtro,"1,20 L",XTZ 150cc Crosser,2025
Óleo do motor,Quantidade de óleo do motor - com troca do filtro,"1,30 L",XTZ 150cc Crosser,2025
Dimensões,Comprimento total,2.015 mm,XTZ 150cc Crosser,2025
Dimensões,Largura total,735 mm,XTZ 150cc Crosser,2025
Dimensões,Altura total,1.090 mm,XTZ 150cc Crosser,2025
Dimensões,Altura do assento,785 mm,XTZ 150cc Crosser,2025
Dimensões,Distância entre eixos,1.325 mm,XTZ 150cc Crosser,2025
Peso,Peso em ordem de marcha,126 kg,XTZ 150cc Crosser,2025
Capacidade,Carga máxima,185 kg,XTZ 150cc Crosser,2025
Sistema Elétrico,Bateria - Tipo,YTZ6V,XTZ 150cc Crosser,2025
Sistema Elétrico,Bateria - Tensão,12 V,XTZ 150cc Crosser,2025
Sistema Elétrico,Bateria - Capacidade,"5,0 Ah (10 HR)",XTZ 150cc Crosser,2025
Sistema Elétrico,Fusível Principal,25 A,XTZ 150cc Crosser,2025
Sistema Elétrico,Fusível do Circuito de Sinalização,15 A,XTZ 150cc Crosser,2025
Sistema Elétrico,Fusível do Circuito do Farol,10 A,XTZ 150cc Crosser,2025
Iluminação,Lâmpada do Farol,"12 V, 35/35 W",XTZ 150cc Crosser,2025
Iluminação,Lâmpada da Lanterna e Freio,"12 V, 5/21 W",XTZ 150cc Crosser,2025
Iluminação,Lâmpada do Pisca,"12 V, 10 W",XTZ 150cc Crosser,2025
Iluminação,Lâmpada da Luz de Placa,"12 V, 5 W",XTZ 150cc Crosser,2025
Motor,Tipo,"SOHC, 2 válvulas, Refrigeração a ar",YBR 125cc Factor,2025
Motor,Quantidade de cilindros,1,YBR 125cc Factor,2025
Motor,Cilindrada,"124,9 cm³",YBR 125cc Factor,2025
Motor,Diâmetro x curso,"52,4 x 57,9 mm",YBR 125cc Factor,2025
Motor,Taxa de compressão,"10,0:1",YBR 125cc Factor,2025
Motor,Potência máxima,"11,0 cv (Gasolina) / 11,1 cv (Etanol) a 7.500 rpm",YBR 125cc Factor,2025
Motor,Torque máximo,"1,14 kgf.m (Gasolina) / 1,16 kgf.m (Etanol) a 5.500 rpm",YBR 125cc Factor,2025
Motor,Embreagem,"Multi-disco, úmida",YBR 125cc Factor,2025
Pneu,Dimensões do Pneu Dianteiro,"2,75-18",YBR 125cc Factor,2025
Pneu,Dimensões do Pneu Traseiro,90/90-18,YBR 125cc Factor,2025
Pneu,Fabricante do Pneu,Michelin / Pirelli,YBR 125cc Factor,2025
Freios,Tipo de freio dianteiro,Disco hidráulico com sistema UBS,YBR 125cc Factor,2025
Freios,Tipo de freio traseiro,Tambor com sistema UBS,YBR 125cc Factor,2025
Suspensão,Tipo de suspensão dianteira,Garfo telescópico,YBR 125cc Factor,2025
Suspensão,Tipo de suspensão traseira,Balança tipo Monocross,YBR 125cc Factor,2025
Combustível,Alimentação,Injeção eletrônica,YBR 125cc Factor,2025
Combustível,Combustível recomendado,Gasolina e Etanol,YBR 125cc Factor,2025
Combustível,Capacidade do tanque de combustível,"15,7 L",YBR 125cc Factor,2025
Transmissão,Sistema de transmissão,5 velocidades,YBR 125cc Factor,2025
Transmissão,Relação de marchas - 1ª,"2,714 (38/14)",YBR 125cc Factor,2025
Transmissão,Relação de marchas - 2ª,"1,789 (34/19)",YBR 125cc Factor,2025
Transmissão,Relação de marchas - 3ª,"1,318 (29/22)",YBR 125cc Factor,2025
Transmissão,Relação de marchas - 4ª,"1,045 (23/22)",YBR 125cc Factor,2025
Transmissão,Relação de marchas - 5ª,"0,875 (21/24)",YBR 125cc Factor,2025
Transmissão,Sistema de partida,Elétrica e pedal,YBR 125cc Factor,2025
Transmissão,Transmissão final,Corrente,YBR 125cc Factor,2025
Óleo do motor,Quantidade de óleo do motor - sem troca do filtro,"1,20 L",YBR 125cc Factor,2025
Óleo do motor,Quantidade de óleo do motor - com troca do filtro,"1,30 L",YBR 125cc Factor,2025
Dimensões,Comprimento total,2.015 mm,YBR 125cc Factor,2025
Dimensões,Largura total,735 mm,YBR 125cc Factor,2025
Dimensões,Altura total,1.090 mm,YBR 125cc Factor,2025
Dimensões,Altura do assento,785 mm,YBR 125cc Factor,2025
Dimensões,Distância entre eixos,1.325 mm,YBR 125cc Factor,2025
Peso,Peso em ordem de marcha,126 kg,YBR 125cc Factor,2025
Capacidade,Carga máxima,185 kg,YBR 125cc Factor,2025
Sistema Elétrico,Bateria - Tipo,YTZ6V,YBR 125cc Factor,2025
Sistema Elétrico,Bateria - Tensão,12 V,YBR 125cc Factor,2025
Sistema Elétrico,Bateria - Capacidade,"5,0 Ah (10 HR)",YBR 125cc Factor,2025
Sistema Elétrico,Fusível Principal,25 A,YBR 125cc Factor,2025
Sistema Elétrico,Fusível do Circuito de Sinalização,15 A,YBR 125cc Factor,2025
Sistema Elétrico,Fusível do Circuito do Farol,10 A,YBR 125cc Factor,2025
Iluminação,Lâmpada do Farol,"12 V, 35/35 W",YBR 125cc Factor,2025
Iluminação,Lâmpada da Lanterna e Freio,"12 V, 5/21 W",YBR 125cc Factor,2025
Iluminação,Lâmpada do Pisca,"12 V, 10 W",YBR 125cc Factor,2025
Iluminação,Lâmpada da Luz de Placa,"12 V, 5 W",YBR 125cc Factor,2025
